1调查地区,2年龄,3性别,4户口,5职业状况,6身体健康状况,7A ,7B ,7C ,7D,7E,7F ,7G ,7H,8worry_risk,9A,9B ,9C ,9D ,9E ,9F,9G,9H ,9I ,9J ,商业医疗保险,商业医疗保险购买条件,商业医疗保险不考虑,商业护理保险,护理保险购买条件,护理保险不考虑购买商业护理保险，主要原因,商业重大疾病保险,疾病保险保险产品购买条件,重大疾病不考虑购买原因,税前总收入
海南,42,1,2,5,2,0,0,0,1,1,1,1,0,自理能力：不想让家人担心,1,1,1,1,0,0,0,0,0,0,1,口碑好的保险公司，合理的缴费,-3,1,口碑好的保险公司，合理的缴费,-3,1,口碑好的保险公司，合理的缴费,-3,4
广西,50,2,1,6,3,1,1,0,0,0,1,0,0,家庭成员发生意外事故 家庭开销大于收入,1,0,0,0,0,1,1,0,0,0,2,-3,一年内不会生什么大病,1,挂号服务 提供专人护理,-3,1,提供专人护理 提供专业服务,-3,2
海南,55,1,5,7,3,1,1,0,0,0,1,0,0,活动能力：不愿麻烦家人,1,0,0,1,1,0,0,0,0,0,1,口碑好的保险公司，合理的缴费,-3,1,口碑好的保险公司，合理的缴费,-3,1,口碑好的保险公司，合理的缴费,-3,4
广西,30,2,1,4,2,0,0,0,0,1,1,1,0,家庭成员发生意外事故 家庭开销大于收入,1,0,0,1,0,1,0,0,0,0,2,-3,一年内不会生什么大病,1,挂号服务 提供专人护理,-3,1,提供专人护理 提供专业服务,-3,2
海南,56,1,2,4,3,1,0,0,1,1,1,1,0,家庭关系：家和万事兴,1,0,0,0,1,0,0,0,0,0,1,口碑好的保险公司，合理的缴费,-3,1,口碑好的保险公司，合理的缴费,-3,1,口碑好的保险公司，合理的缴费,-3,4
海南,45,1,2,5,2,0,0,0,1,1,1,1,0,家庭关系：家和万事兴,1,0,1,1,0,0,0,0,0,0,1,口碑好的保险公司，合理的缴费,-3,1,口碑好的保险公司，合理的缴费,-3,1,口碑好的保险公司，合理的缴费,-3,5
广西,36,1,1,1,3,0,1,0,0,0,1,1,0,家庭成员发生意外事故 家庭开销大于收入,1,0,0,0,0,1,1,0,0,0,2,-3,一年内不会生什么大病,1,挂号服务 提供专人护理,-3,1,提供专人护理 提供专业服务,-3,4
广西,56,2,1,7,3,1,1,0,0,0,1,0,0,家庭成员发生意外事故 家庭开销大于收入,1,0,0,1,0,0,1,0,0,0,2,-3,一年内不会生什么大病,1,挂号服务 提供专人护理,-3,1,提供专人护理 提供专业服务,-3,3
广西,45,2,1,5,3,1,1,0,0,1,0,0,0,家庭成员发生意外事故 家庭开销大于收入,1,0,0,1,0,0,1,0,0,0,2,-3,一念内不会生什么大病,1,挂号服务 提供专人护理,-3,1,提供专人护理 提供专业服务,-3,2
广西,58,1,1,6,3,1,1,0,0,0,1,0,0,家庭成员发生意外事故 家庭开销大于收入,1,0,0,0,0,1,1,0,0,0,2,-3,一年内不会生什么大病,1,挂号服务 提供专人护理,-3,1,提供专人护理 提供专业服务,-3,2
海南,35,1,1,1,2,1,1,1,0,0,0,0,0,开销,1,1,0,1,0,0,0,0,0,0,2,-3,资金,1,资金,-3,1,保障程度,-3,3
海南,40,2,1,2,3,1,1,1,1,1,0,0,0,疾病,1,1,0,1,0,0,0,0,0,0,1,足够保障,-3,1,足够保障,-3,2,-3,持续时间太长,2
海南,36,2,3,1,4,1,0,0,0,1,1,1,0,疾病,1,1,1,1,0,0,1,0,0,0,1,足够保障,-3,1,足够保障,-3,1,足够保障,-3,2
广西,30,2,3,2,2,0,1,0,0,0,1,0,0,1.担心子女会不会孝顺。2.担心女儿嫁的太远了。3.担心健康，不知道自己会不会生病,1,0,0,0,0,0,1,0,0,0,2,-3,1、害怕代理人不负责任。2、我经常锻炼身体好很健康也非常小心所以不需要购买保险。3、有钱就存银行里。,2,-3,1.儿女孝顺，不需要。2、以前的人不买保险，还不是也没什么大问题吗。,1,1.要有一个负责任的负责人。2.如果真的生个病，要服务到位，不要一副事不关己的态度对我。,-3,1
广西,30,1,1,1,1,0,1,0,0,0,1,0,0,1.担心儿女们过的不好。2.害怕老伴走了，自己很孤独。3.担心自己的的健康，不知道自己还有多少时间,1,0,0,0,0,0,1,0,0,0,2,-3,1.有钱我就存银行，不想买保险。2.我现在身体挺好的，不需要,2,-3,1.不知道买什么保险。2.保险太贵，把钱存银行里，心里踏实。,1,1.代理人要有一定的专业水平，为客户着想。2.售后给客户做好解答困惑。3.给客户做好保险分析,-3,2
广西,31,2,2,3,1,1,1,0,0,1,0,0,0,1.害怕患上癌症。2.担心自己变胖3.担心自己的儿女不孝顺,1,0,0,0,0,0,1,0,0,0,1,1.要有一个讲信用的代理人。2.代理人能长期与客户沟通，因为保险是一种无形的产品，买之后让人感觉不放心。3.要替客户做好保险的规划。,-3,2,-3,1.保险太贵了，想换其他的。2.我的钱还要留着给儿子上学用。3.不知道什么样的保险好。,2,-3,1.保险太贵了，把钱存银行里。2.现在要存钱给儿子上学，没闲钱去买保险。3.重大疾病保险，等我年龄大一点我才考虑去购买，所以现在不怎么需要。,1
广西,31,1,2,1,1,0,1,0,1,1,1,1,0,1.担心自己的健康，害怕自己老了，身体也不行了。2.害怕头发掉完了，现在的头发就老是掉。,1,0,0,0,0,0,1,0,0,0,2,-3,1.我现在身体挺好的，不需要购买医疗保险。2.保险对我没多大用。3.保险不靠谱。,2,-3,1.我要和家人商量一下才能决定要不要购买。2.如果真的不能自理，我还有我的孩子啊，我的孩子应该会挺孝顺的。3.这个得等我老了才考虑购买吧，现在还没到那个时候，不需要购买,2,-3,1.我想详细了解一下再购买。2、保险的种类太多了，不懂哪种好。3.等我需要的时候我在买，现在还不需要考虑这个问题。,2
广西,35,2,1,1,4,1,1,0,1,1,1,0,0,1.担心自己的身体，害怕自己的病情加重。2.担心儿女发生意外事故。3.害怕儿女不够孝顺,1,0,0,0,0,0,1,0,0,0,1,1.有售后咨询的服务。2.有一个有实力的负责人。3.保险公司能一次性支付保险费用。,-3,2,-3,1.十五年的时间保险费有点贵。2.这个保险要等到我老的时候才去考虑，现在不着急。3.我要先了解一下这个保险。,2,-3,1.十五年的保险费用太贵了，现在是孩子需要钱上学的时候。2.等我还完贷款再说。3.等我到年纪了，'我才会考虑。,2
广西,59,2,1,1,3,1,1,0,0,0,1,0,0,1.担心自己的老毛病老犯，走路不方便。2.害怕，老伴走了之后，自己会孤独。3.对生活没有了兴趣。,1,0,0,0,0,0,1,0,0,0,1,1、对我做好售前售后的服务工作。2、要服务到位，不要我觉得交了钱，除了一份保险文件什么也没有，心空空的。3.代理人要定期给我联系。,-3,2,-3,1.太贵了，没有太多的闲钱去购买，这个保险。2.感觉不能自理的几率很小，自己应该不会到这种地步吧。3.真的有那么一天，我儿子儿媳妇会照顾我的。,2,-3,1.十五年的费用太贵了，没什么闲钱。2.到时候再说，感觉自己还行。,1
江西,31,1,1,2,1,0,0,0,0,1,0,0,0,收入，开销，疾病,0,0,0,1,0,0,0,0,0,0,2,-3,害怕风险,2,-3,不太了解到底是什么,2,-3,价格昂贵,2
甘肃,57,1,2,3,3,0,0,1,1,0,0,0,0,收入，疾病。,1,0,0,0,1,0,0,0,0,0,2,-3,没必要,1,安全，经济,-3,1,实惠，安全。,-3,2
安徽,36,1,2,3,2,0,1,0,0,0,0,0,0,开销,0,1,0,0,0,0,0,0,0,0,2,-3,身体好,2,-3,贵,2,-3,身体好,2
安徽,39,2,1,1,1,1,0,1,0,0,0,0,0,开销,0,0,1,0,0,0,0,0,0,0,2,-3,贵,2,-3,时间少,2,-3,身体健康,2
安徽,35,1,3,3,2,0,0,0,1,0,0,0,0,开销,1,0,1,0,0,0,0,0,0,0,2,-3,身体好,2,-3,身体好,2,-3,身体健康,2
安徽,53,1,7,1,1,1,0,1,0,0,0,0,0,开销,1,0,0,0,0,0,0,0,0,0,2,-3,贵,2,-3,时间少,2,-3,贵,2
安徽,53,1,3,4,1,0,1,1,0,0,0,0,0,开销,1,0,0,0,0,0,0,0,0,0,2,-3,安徽理工大学,2,-3,贵,2,-3,身体健康,2
安徽,53,1,4,2,2,0,1,1,0,0,0,0,0,收入,0,0,1,0,0,0,0,0,0,0,2,-3,身体健康,2,-3,贵,2,-3,贵,2
甘肃,43,1,1,6,2,1,0,0,0,0,0,1,0,二女的扶养,1,0,0,1,0,0,1,0,0,0,2,-3,不知道,2,-3,不知道,1,好,-3,1
宁夏,30,1,1,5,1,1,0,0,0,0,1,1,0,自理或者活动能力下降，可能会得一些小的疾病！随着年龄的增长，活动能力肯定会下降！,1,0,0,1,0,1,1,0,0,0,2,-3,身体健康，不是生病！,2,-3,到时候购买养老保险，还有子女的照顾，不考虑购买商业护理保险！,2,-3,身体健康，不需要买什么保险,5
山西,49,1,2,4,2,1,0,0,0,0,0,1,0,自理，居住环境,0,0,0,0,0,0,0,1,0,0,2,-3,1.有医保，单位也给保了2.真的是大病，医保处理完，单位在处理一部分，剩下的自己还是负担不起,1,有专业人员看护,-3,2,-3,赔的根本弥补不了花的,4
河南,35,2,7,6,2,1,1,1,0,1,0,1,0,1.自理:人一老就怕下不了床，又没人照顾2.居住环境:影响人的一生3.疾病:无法控制，尤其重大疾病,1,0,0,1,0,0,0,0,0,0,1,服务态度，可靠，,-3,2,-3,会考虑，看交多少钱，有没有能力买,1,有保障，报销多,-3,2
海南,30,2,2,4,2,1,1,1,1,1,1,1,0,疾病,0,0,0,0,0,0,0,0,1,0,2,-3,有国家医疗保险,2,-3,缴费时间太长,2,-3,缴费时间太长,2
海南,30,1,3,4,1,0,0,0,1,0,0,0,0,自理或活动能力下降,0,0,0,0,1,0,0,0,0,0,2,-3,用不着,2,-3,用不着,2,-3,用不着,2
山西,44,1,2,2,2,0,1,0,0,0,0,0,0,环境,0,0,1,0,0,0,0,0,0,0,1,安全   方便,-3,2,-3,风险,1,方便,-3,2
海南,30,2,1,4,1,0,0,0,0,0,0,1,0,自理能力下降，影响自己还影响身边的人。,0,0,0,0,0,0,0,1,0,0,2,-3,没想过,2,-3,有养老保险,2,-3,有养老保险,1
海南,32,2,5,6,1,0,0,0,0,0,1,1,0,丧失生活来源,1,0,0,1,0,1,1,0,0,0,1,能够承担风险、能够负责到底,-3,1,日常生活起居护理、能够贴心服务,-3,2,-3,不存在这样的风险，对自己的身体状况很有信心,2
海南,36,1,2,3,1,1,1,1,1,1,1,1,0,自理能力下降，行动不便,1,1,1,1,1,1,1,0,0,0,1,缴纳费用低，能报销所有医疗费用,-3,1,缴纳费用低，时间周期短,-3,2,-3,用处不大,2
甘肃,54,1,1,8,3,1,0,0,0,0,0,0,0,担心身体健康问题,1,0,0,0,0,0,0,0,0,0,1,价格和报销合理,-3,1,价格和报销合理,-3,2,-3,可能用不着,1
河北,52,1,3,2,2,0,1,0,0,0,0,0,0,安全,0,1,0,0,0,0,0,0,0,0,1,方便,-3,2,-3,麻烦,2,-3,没用,2
河南,36,1,2,4,2,1,1,0,0,1,0,1,0,收入，没有收入来源，我觉得无法生活疾病，这是无法预料的自理，没有自理能力，无法行动,1,0,0,1,0,0,0,0,0,0,1,要有保障，价钱合理，服务态度很好,-3,1,报销比例大，有很好的服务,-3,1,报销多，服务态度很好,-3,3
甘肃,42,1,2,2,3,0,1,1,0,0,0,0,0,失业，疾病，收入方面。,1,0,0,1,0,1,0,0,0,0,1,服务，诚信,-3,1,服务，诚信,-3,1,服务，诚信,-3,2
辽宁,58,1,1,1,1,1,0,1,0,0,0,0,0,开销 居住环境 疾病 有病的话会对家庭造成很大负担,1,1,0,0,0,0,0,0,0,0,2,-3,害怕受骗风险大,2,-3,不想买,1,稳定 安全 及时,-3,2
辽宁,40,1,1,1,1,1,0,0,0,0,0,0,0,收入少，花销大,1,0,0,0,0,0,0,0,0,0,1,合适,-3,1,合适,-3,1,实惠,-3,1
辽宁,40,1,1,1,1,1,0,0,0,0,0,0,0,收入少  开销大,1,0,0,0,0,0,0,0,0,0,1,优惠合适,-3,1,优惠合适,-3,1,优惠合适,-3,1
福建,49,2,2,8,3,0,1,0,0,0,0,0,0,没有,0,0,0,0,0,0,1,0,0,0,2,-3,已买,2,-3,已买,2,-3,己买,3
广东,49,2,3,4,2,1,1,1,0,1,0,0,0,疾病原因,1,0,0,0,1,0,1,0,0,0,1,可以报销看病,-3,2,-3,公司没有这类保险,2,-3,期限长,3
广西,36,2,1,5,2,1,0,0,0,0,0,0,0,收入太少 开销太大,0,0,0,0,0,0,0,1,0,0,2,-3,目前身体健康,2,-3,没钱买保险,2,-3,没钱买保险,2
江苏,31,1,1,2,2,1,0,0,0,0,1,1,0,收入,1,0,0,0,0,1,1,0,0,0,2,-3,担心受骗,2,-3,担心受骗,1,有保障态度好,-3,2
江苏,32,2,2,2,1,1,0,0,0,1,1,0,0,收入，开销,1,0,0,0,1,1,1,0,0,0,1,有保障态度好,-3,2,-3,担心受骗,2,-3,担心受骗,1
广西,38,1,1,8,1,1,0,0,0,0,0,0,0,重大疾病干扰,0,0,0,0,0,0,1,0,0,0,2,-3,很少生病,2,-3,子女抚养,2,-3,身体健康,3
江苏,33,1,1,4,2,1,0,0,0,1,1,0,0,疾病,1,0,0,0,0,0,1,0,0,0,1,服务好态度好,-3,2,-3,担心受骗,2,-3,担心受骗,2
江苏,34,1,4,2,2,1,0,0,1,1,1,1,0,疾病,1,0,0,0,0,1,1,0,0,0,2,-3,担心受骗,1,担心受骗,-3,1,服务态度好,-3,2
江苏,35,2,2,3,2,1,0,0,1,1,1,1,0,收入,1,0,0,1,0,0,1,0,0,0,1,有保障态度好,-3,2,-3,担心受骗,2,-3,担心受骗,2
江苏,36,2,1,2,2,0,1,0,0,0,0,0,0,收入,1,0,0,1,0,1,0,0,0,0,1,有保障态度好,-3,2,-3,担心受骗,2,-3,担心受骗,2
江苏,37,2,2,3,2,1,0,0,1,0,1,1,0,疾病,1,0,0,0,0,1,1,0,0,0,2,-3,担心受骗,2,-3,担心受骗,2,-3,担心受骗,3
江苏,38,2,2,3,2,1,0,0,0,0,1,0,0,疾病,1,0,0,0,1,0,1,0,0,0,2,-3,担心受骗,2,-3,担心受骗,2,-3,担心受骗,2
江苏,39,2,1,2,2,1,0,0,1,1,1,0,0,疾病,0,1,0,0,1,1,0,0,0,0,1,有保障态度好,-3,2,-3,担心受骗,2,-3,担心受骗,3
江苏,40,2,2,1,2,1,0,0,1,1,1,0,0,疾病,1,0,0,0,0,1,1,0,0,0,2,-3,担心受骗,2,-3,担心受骗,2,-3,担心受骗,2
湖南,40,2,1,8,3,1,1,0,0,0,0,0,0,居住环境。环境不好，影响身体素质,1,0,0,1,0,0,0,0,0,0,2,-3,一年的时间太短,1,经济补偿大,-3,2,-3,金额太大。一下子付不起,1
广西,39,2,2,1,1,0,1,0,0,0,1,0,0,1.害怕老了生大病，害怕得老年痴呆，照顾不了自己。2.活动能力下降。3.担心子女因为工作忙，把自己送到养老院。,1,0,0,0,0,0,1,0,0,0,2,-3,1.没有闲钱，把钱存银行里。2.我已经购买了其他的医疗保险了，所以这个我可能不太需要。,1,1.售前，售后都要态度好。2.负责人要负责任。,-3,2,-3,1.没有太多的闲钱，钱留给孩子买房子。2.这个保险等我老了之后我可能才会考虑。,2
江西,59,2,3,1,1,1,0,0,0,0,1,0,0,家庭关系 心理情绪 疾病,1,0,1,0,0,0,0,0,0,0,1,稳定 保障 方便,-3,1,限制条件少  能够很快的赔保,-3,2,-3,价格,4
安徽,32,2,3,6,2,0,1,0,0,0,1,0,0,收入。开销,0,0,0,1,0,0,0,0,0,0,2,-3,有自己的打算,2,-3,有自己的打算,2,-3,有自己的打断,2
宁夏,30,2,2,2,1,1,0,0,0,0,0,0,0,收入开销,1,0,0,1,1,0,0,0,0,0,1,价格，保险金额,-3,1,实人实例,-3,1,售后服务,-3,1
海南,31,1,2,4,1,0,1,0,1,0,0,0,0,没有收入,0,0,0,0,0,0,0,1,0,0,2,-3,我还年轻，不会生什么病,1,每年缴纳的费用要在合理范围，，,-3,2,-3,太具有偶然性,3
海南,55,2,1,2,3,1,0,0,0,0,0,0,0,生病没钱治疗,0,0,0,0,0,0,1,0,0,0,2,-3,农村合作医疗,2,-3,自身收入不多,2,-3,自身收入不多,1
海南,43,1,1,1,2,1,0,0,0,0,0,0,0,年纪大了，生病，看病麻烦,1,0,0,0,0,0,1,0,0,0,1,报销比例大于百分之八十，价格低于两百,-3,2,-3,周期太长,2,-3,不确定，，周期长,2
海南,35,2,2,1,1,0,0,0,1,0,1,0,0,居住楼层高，不方便，，与子女相处不来,1,0,0,0,0,0,1,0,0,0,1,保险要全国统一,-3,2,-3,没有这个观念,2,-3,没有这个观念,2
海南,56,1,1,2,3,1,0,0,0,0,0,0,0,失去打工能力，，没有花销,0,0,0,0,0,0,1,0,0,0,2,-3,已经有农村合作医疗,2,-3,害怕突然身故,2,-3,资金不够，，有其他安排,2
宁夏,30,2,2,4,2,0,0,1,0,1,0,1,0,健康，居住环境,1,0,0,1,0,0,0,0,0,0,1,保护我的自身问题,-3,2,-3,健康,2,-3,没有,2
海南,45,1,1,5,3,1,0,1,0,0,0,0,0,年纪更老时收入不足以保障生活,1,0,0,0,0,0,0,0,0,0,1,理赔金额足够、理赔速度快,-3,2,-3,目前的收入不足以购买,2,-3,目前收入不足以,1
海南,55,2,5,4,2,1,0,1,0,0,0,0,0,活动能力下降、居住环境偏僻，没有伙伴,1,0,0,1,0,0,0,0,0,0,1,理赔速度快；理赔金额高,-3,2,-3,老年会和子女一起生活,1,重大疾病的范围是否足够大；理赔金额是否足够支付短期治疗费用,-3,3
海南,33,1,5,1,2,1,0,0,1,0,0,1,0,家庭关系是否和睦,1,0,1,0,0,0,0,0,0,0,2,-3,目前收入足以支付治疗费用,1,服务质量足够高；连续缴费要透明,-3,1,理赔速度快；理赔金额高,-3,4
海南,39,2,1,2,3,1,0,0,1,1,0,0,0,疾病比较担心，怕失去自理能力,1,0,0,0,0,0,1,0,0,0,2,-3,一年的时间没有必要,1,一定的经济支持   提供护理等帮助,-3,1,因为没有购买之类的保险,-3,3
海南,58,1,5,2,3,1,0,0,0,1,0,0,0,自身的抵御能力下降导致多疾病，花费大量金钱,1,0,0,0,0,0,0,0,0,0,1,报销金额高；能够报销的范围广,-3,2,-3,老年会和子女一同居住，不能够保证连续缴费,2,-3,目前的收入不足以支撑连续缴费,1
海南,46,1,2,4,2,1,1,1,1,1,1,1,0,疾病较为担心，疾病会使我需要人照顾,1,0,0,0,1,0,1,0,0,0,2,-3,我现在身体很好没有必要买,1,一定的资金支持，还有提供必要的护理,-3,2,-3,我已购买保险,3
海南,49,1,5,1,2,1,1,0,0,1,1,1,0,自理能力下降,1,0,1,1,0,0,0,0,0,0,1,理赔速度快；理赔范围广,-3,1,连续缴费是否公正透明；提供的服务是否经过专业培训,-3,1,连续缴费的透明度；理赔速度是否足够快,-3,5
海南,38,1,1,5,2,1,1,1,1,1,1,1,0,比较担心疾病，疾病会使家庭缺乏资金支持,1,0,0,0,0,0,1,0,0,0,2,-3,我现在身体很好，没有必要买,2,-3,因为有子女,1,没有购买保险,-3,3
海南,49,1,3,5,2,1,1,1,1,1,1,1,0,疾病，家庭没有一定的资金支持,1,0,0,0,0,0,1,0,0,0,2,-3,我现在身体很好，没有必要购买,2,-3,有子女,1,老年会有资金支撑我的生活，并且有一定的护理条件,-3,3
海南,35,2,1,3,2,1,1,0,1,1,1,1,0,疾病，怕孩子不能照顾,1,0,0,0,1,0,1,0,0,0,2,-3,目前来说我身体很好,1,保证我晚年的舒适生活条件，有一定的医疗条件,-3,2,-3,因为我已购买的类似的产品,3
广西,30,2,1,6,3,1,1,0,0,0,0,0,0,收入，居住环境，开销,1,1,1,1,0,0,0,0,0,0,1,可抵消费用支出,-3,2,-3,钱，没必要，,2,-3,没必要,1
广西,35,1,1,1,1,0,1,0,0,0,1,0,0,1.老了，生病了没人照顾2.担心生活没了乐趣,1,0,0,0,0,0,1,0,0,0,2,-3,我身体挺好的，生病再说,2,-3,1.买这个保险花钱太多了，我的钱还是存在银行  2，要和家人商量再做决定,2,-3,1.这个保险花费太大，2.这个时候还没需要考虑买这种保险，以后再说,1
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,1,赔款额度高。,-3,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,1,赔款额度高。,-3,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,2,-3,觉得身体还可以，没什么必要,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,1,购买方便。保费合理。,-3,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,2,-3,觉得身体还可以，没什么必要,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,1,购买方便。保费合理。,-3,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,2,-3,觉得身体还可以，没什么必要,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,1,购买方便。保费合理。,-3,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,2,-3,觉得身体还可以，没什么必要,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,1,赔款额度高。,-3,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,1,购买方便。保费合理。,-3,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,1,赔款额度高。,-3,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,1,购买方便。保费合理。,-3,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,2,-3,觉得身体还可以，没什么必要,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,1,购买方便。保费合理。,-3,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,2,-3,觉得身体还可以，没什么必要,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,1,赔款额度高。,-3,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,1,赔款额度高。,-3,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,1,购买方便。保费合理。,-3,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,1,赔款额度高。,-3,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,2,-3,觉得身体还可以，没什么必要,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,1,赔款额度高。,-3,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,2,-3,觉得身体还可以，没什么必要,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,1,赔款额度高。,-3,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,1,购买方便。保费合理。,-3,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,1,赔款额度高。,-3,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,1,赔款额度高。,-3,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,2,-3,觉得身体还可以，没什么必要,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,1,购买方便。保费合理。,-3,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,1,赔款额度高。,-3,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,1,赔款额度高。,-3,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,2,-3,觉得身体还可以，没什么必要,2
海南,45,2,5,4,1,0,1,0,0,1,1,1,0,无,1,0,0,1,1,1,1,0,0,0,1,有经济实力、存在这样的风险、需要足够负责,-3,2,-3,没有这方面的需要,2,-3,不存在这样的可能,3
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,1,赔款额度高。,-3,2
江苏,47,1,1,2,2,1,0,0,0,0,0,0,0,生活不能自理。,1,0,0,0,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,2,-3,觉得身体还可以，没什么必要,2
海南,51,1,2,5,2,1,0,0,1,1,0,0,0,无,0,0,0,0,0,0,0,1,0,0,2,-3,没钱,2,-3,没钱,2,-3,没有能力持续支付,2
安徽,41,2,1,1,4,1,1,1,0,0,0,0,0,生活不能自理。,1,0,1,1,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,2,-3,觉得不太需要,1,赔款额度高。,-3,3
安徽,41,2,1,1,4,1,1,1,0,0,0,0,0,生活不能自理。,1,0,1,1,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,2,-3,觉得不太需要,2,-3,觉得身体还可以，没什么必要,3
安徽,41,2,1,1,4,1,1,1,0,0,0,0,0,生活不能自理。,1,0,1,1,0,0,0,0,0,0,2,-3,商业医保保险不靠谱。,1,提供必要的医疗保障，要有一定的质量。赔款合理，服务周到。,-3,2,-3,觉得身体还可以，没什么必要,3
